"Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021",
"Symbol","Company Name","Weight","Identifier","Shares Held",
"WYNN","WYNN RESORTS LTD COMMON STOCK USD.01","0.35%","983134107","552,200",
"MHK","MOHAWK INDUSTRIES INC COMMON STOCK USD.01","0.35%","608190104","309,547",
"TPR","TAPESTRY INC COMMON STOCK USD.01","0.34%","876030107","1,458,142",
"BWA","BORGWARNER INC COMMON STOCK USD.01","0.33%","099724106","1,254,424",
"HAS","HASBRO INC COMMON STOCK USD.5","0.33%","418056107","670,405",
"PENN","PENN NATIONAL GAMING INC COMMON STOCK USD.01","0.31%","707569109","780,151",
"NWL","NEWELL BRANDS INC COMMON STOCK USD1.0","0.29%","651229106","1,983,214",
"NCLH","NORWEGIAN CRUISE LINE HOLDIN COMMON STOCK USD.001","0.26%","G66721104","1,906,168",
"PVH","PVH CORP COMMON STOCK USD1.0","0.21%","693656100","373,187",
"LEG","LEGGETT + PLATT INC COMMON STOCK USD.01","0.20%","524660107","697,904",
"GPS","GAP INC/THE COMMON STOCK USD.05","0.19%","364760108","1,079,649",
"HBI","HANESBRANDS INC COMMON STOCK USD.01","0.18%","410345102","1,830,541",
"RL","RALPH LAUREN CORP COMMON STOCK USD.01","0.17%","751212101","253,128",
"UAA","UNDER ARMOUR INC CLASS A COMMON STOCK USD.000333","0.11%","904311107","989,880",
"UA","UNDER ARMOUR INC CLASS C COMMON STOCK USD.000333","0.10%","904311206","1,022,676",
"","STATE STREET INSTITUTIONAL LIQ STATE ST INST LIQ RES PREM","0.09%","964WKM905","17,339,349",
"","US DOLLAR","0.00%","999USDZ92","-69,853",
